address,amount
0xd9d35da7f3fd8989346d03dc8ca5cf2e2d65957a,675756021.087988129233503517
0x77bb520bc548391f8eea967c9f39e201b3bbeb89,473029214.761591690463452461
0x2dc649b61355bf1b28f7daf4a992f6b6c4a24c28,337878010.543994064616751758
0xee42dfbbad186da696188994e28963a348514ff7,78838202.460265281743908743
0x131fd842fee3199e9ac9307a4ddb6dff72c67765,45050401.405865875282233567
0x538c4f2afa012911851dadf0655cb61377e7a8eb,22525200.702932937641116783
